name,photo_url
Hugh Jackman,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/4Xujtewxqt6aU0Y81tsS9gkjizk.jpg
Emma Corrin,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/wqGOVOsHzZaHeHymIS40elGCnY0.jpg
Ryan Reynolds,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/algQ1VEno2W9SesoArWcZTeF617.jpg
Chris Pratt,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/83o3koL82jt30EJ0rz4Bnzrt2dd.jpg
Rie Takahashi,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/6S7G3FZnma2vo4B8ODqAdbeRKda.jpg
Gading Marten,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/u3DE5ZcOiBUiSghhai1Daqr0qDe.jpg
